--------- beginning of main
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.wifi.flags is mapped to com.android.wifi
11-27 09:16:38.759 14678 14678 I AconfigPackage: android.os.profiling is mapped to com.android.profiling
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.art.flags is mapped to com.android.art
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.libcore is mapped to com.android.art
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.org.conscrypt.flags is mapped to com.android.conscrypt
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.org.conscrypt.net.flags is mapped to com.android.conscrypt
11-27 09:16:38.759 14678 14678 I AconfigPackage: android.graphics.pdf.flags is mapped to com.android.mediaprovider
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.providers.media.flags is mapped to com.android.mediaprovider
11-27 09:16:38.759 14678 14678 I AconfigPackage: android.graphics.pdf.flags.readonly is mapped to com.android.mediaprovider
11-27 09:16:38.760 14678 14678 I AconfigPackage: com.android.adservices.ondevicepersonalization.flags is mapped to com.android.ondevicepersonalization
11-27 09:16:38.760 14678 14678 I AconfigPackage: com.android.healthfitness.flags is mapped to com.android.healthfitness
11-27 09:16:38.760 14678 14678 I AconfigPackage: com.android.ipsec.flags is mapped to com.android.ipsec
11-27 09:16:38.760 14678 14678 I AconfigPackage: com.android.devicelock.flags is mapped to com.android.devicelock
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.cellbroadcastreceiver.flags is mapped to com.android.cellbroadcast
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.permission.flags is mapped to com.android.permission
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.permissioncontroller.flags is mapped to com.android.permission
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.system.virtualmachine.flags is mapped to com.android.virt
11-27 09:16:38.761 14678 14678 I AconfigPackage: android.media.swcodec.flags is mapped to com.android.media.swcodec
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.adservices.flags is mapped to com.android.adservices
11-27 09:16:38.761 14678 14678 I AconfigPackage: com.android.sdksandbox.flags is mapped to com.android.adservices
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.net.ct.flags is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.tethering.mainline.beta is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.net.flags is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.nearby.flags is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: android.net.vcn is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.tethering.beta.test is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: android.net.http is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.net.thread.flags is mapped to com.android.tethering
11-27 09:16:38.762 14678 14678 I AconfigPackage: com.android.icu is mapped to com.android.i18n
11-27 09:16:38.762 14678 14678 E FeatureFlagsImplExport: android.os.flagging.AconfigStorageReadException: ERROR_PACKAGE_NOT_FOUND: package android.xr cannot be found on the device
11-27 09:16:38.813 14678 14678 I app_process: System.exit called, status: 0
11-27 09:16:38.813 14678 14678 I AndroidRuntime: VM exiting with result code 0.
11-27 09:16:38.858 13658 13658 I ImeFocusController: onPreWindowFocus: skipped hasWindowFocus=false mHasImeFocus=true
11-27 09:16:38.858 13658 13658 I ImeFocusController: onPostWindowFocus: skipped hasWindowFocus=false mHasImeFocus=true
11-27 09:16:38.900 13658 13658 I ImeTracker: system_server:6c5fa1da: onCancelled at PHASE_CLIENT_ON_CONTROLS_CHANGED
11-27 09:16:39.188 13658 13658 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.view.ImeBackAnimationController@2e72b6e
11-27 09:16:39.189 13658 13658 D InputTransport: Input channel destroyed: 'ClientS', fd=149
11-27 09:16:39.365 13658 13658 I VRI[TermuxActivity]@bbdea9b: handleAppVisibility mAppVisible = true visible = false
11-27 09:16:39.365 13658 13658 D VRI[TermuxActivity]@bbdea9b: visibilityChanged oldVisibility=true newVisibility=false
11-27 09:16:39.375 13658 13679 D HWUI    : CacheManager::trimMemory(20)
11-27 09:16:39.387 13658 13658 I VRI[TermuxActivity]@bbdea9b: Relayout returned: old=(0,0,1080,2340) new=(0,0,1080,2340) relayoutAsync=false req=(1080,2340)8 dur=4 res=0x2 s={false 0x0} ch=true seqId=0
11-27 09:16:39.387 13658 13658 D VRI[TermuxActivity]@bbdea9b: Not drawing due to not visible. Reason=!mAppVisible && !mForceDecorViewVisibility
11-27 09:16:39.387 13658 13658 I VRI[TermuxActivity]@bbdea9b: stopped(true) old = false
11-27 09:16:39.387 13658 13658 D VRI[TermuxActivity]@bbdea9b: WindowStopped on com.termux/com.termux.app.TermuxActivity set to true
11-27 09:16:39.387 13658 13679 D HWUI    : CacheManager::trimMemory(20)
11-27 09:16:39.404 13658 13658 D BBA2    : setIsFg isFg = false; delayValue 3999ms
11-27 09:16:39.404 14499 14499 D BBA2    : setIsFg isFg = false; delayValue 3999ms
11-27 09:16:42.290 13658 13658 I VRI[TermuxActivity]@bbdea9b: handleAppVisibility mAppVisible = false visible = true
11-27 09:16:42.295 13658 13658 I VRI[TermuxActivity]@bbdea9b: stopped(false) old = true
11-27 09:16:42.295 13658 13658 D VRI[TermuxActivity]@bbdea9b: WindowStopped on com.termux/com.termux.app.TermuxActivity set to false
11-27 09:16:42.296 13658 13658 D ViewRootImpl: Skipping stats log for color mode
